BIOCHEMICAL,PATHWAY,ChemRICHClass,PUBCHEM,INCHIKEY,PLATFORM,MASS,RI
palmitoyl dihydrosphingomyelin (d18:0/16:0),lipid,SM,9939965,QHZIGNLCLJPLCU-QPPIDDCLSA-N,lc/ms pos late,705.5905,2290
palmitoyl dihydrosphingomyelin (d18:0/16:0)*,lipid,SM,9939965,QHZIGNLCLJPLCU-QPPIDDCLSA-N,lc/ms pos late,705.5905,2290
palmitoyl ethanolamide,lipid,Endocannabinoid,4671,HXYVTAGFYLMHSO-UHFFFAOYSA-N,lc/ms neg,298.27515,1643
palmitoyl sphingomyelin,lipid,SM,9939941,RWKUXQNLWDTSLO-GWQJGLRPSA-N,gc/ms,311.3,2524
palmitoyl sphingomyelin (d18:1/16:0),lipid,SM,9939941,RWKUXQNLWDTSLO-GWQJGLRPSA-N,lc/ms pos late,703.57485,2168
palmitoyl-arachidonoyl-glycerol (16:0/20:4) [1],lipid,DG,,,lc/ms pos late,634.54051,2916
palmitoyl-arachidonoyl-glycerol (16:0/20:4) [1]*,lipid,DG,,,lc/ms pos late,634.54051,2916
palmitoyl-arachidonoyl-glycerol (16:0/20:4) [2],lipid,DG,,,lc/ms pos late,634.54051,3015
palmitoyl-arachidonoyl-glycerol (16:0/20:4) [2]*,lipid,DG,,,lc/ms pos late,634.54051,3015
palmitoyl-arachidonoyl-glycerophosphocholine (1)*,,,,,lc/ms polar,826.56034,870
palmitoyl-arachidonoyl-glycerophosphocholine (2)*,lipid,,,,lc/ms polar,826.56034,790
palmitoylcarnitine,lipid,CAR,461,XOMRRQXKHMYMOC-OAQYLSRUSA-N,lc/ms pos,400.34214,1425
palmitoylcarnitine (c16),lipid,CAR,461,XOMRRQXKHMYMOC-OAQYLSRUSA-N,lc/ms pos late,400.34214,1425
palmitoylcholine,lipid,AcylCholine,151731,ODYPFMHOOQOHEF-UHFFFAOYSA-N,lc/ms pos late,342.33666,1482
palmitoyl-dihomo-linolenoyl-glycerol (16:0/20:3n3 or 6) [2]*,lipid,,,,lc/ms pos late,636.55616,3265
palmitoyl-docosahexaenoyl-glycerol (16:0/22:6) [1],lipid,DG,,,lc/ms pos late,658.54051,2749
palmitoyl-docosahexaenoyl-glycerol (16:0/22:6) [1]*,lipid,DG,,,lc/ms pos late,658.5405,2749
palmitoyl-docosahexaenoyl-glycerol (16:0/22:6) [2],lipid,,,,lc/ms pos late,658.54051,2830
palmitoyl-docosahexaenoyl-glycerol (16:0/22:6) [2]*,lipid,,,,lc/ms pos late,658.54051,2830
palmitoyl-docosahexaenoyl-glycerol [1]*,,,,,lc/ms pos late,658.54051,2749
palmitoyl-linolenoyl-glycerol (16:0/18:3) [2]*,lipid,DG,,,lc/ms pos late,608.52486,2834
palmitoyl-linoleoyl-glycerol (16:0/18:2) [1]*,lipid,DG,,,lc/ms pos late,610.54051,3080
palmitoyl-linoleoyl-glycerol (16:0/18:2) [2],lipid,DG,,,lc/ms pos late,610.5405,3197
palmitoyl-linoleoyl-glycerol (16:0/18:2) [2]*,lipid,DG,,,lc/ms pos late,610.54051,3197
palmitoyl-linoleoyl-glycerophosphocholine (1)*,lipid,,,,lc/ms polar,802.56018,870
palmitoyl-linoleoyl-glycerophosphocholine (2)*,,,,,lc/ms polar,802.56049,783
palmitoyl-linoleoyl-glycerophosphoinositol (1)*,lipid,,,,lc/ms polar,833.51845,910
palmitoyl-myristoyl-glycerol (16:0/14:0) [1],,DG,,,lc/ms pos late,558.5092,3054
palmitoyl-myristoyl-glycerol (16:0/14:0) [1]*,lipid,DG,,,lc/ms pos late,558.50921,3054
palmitoyl-myristoyl-glycerol (16:0/14:0) [2],lipid,DG,53478024,,lc/ms pos late,558.50921,3180
palmitoyl-oleoyl-glycerol (16:0/18:1) [1]*,lipid,DG,,,lc/ms pos late,612.55616,3562
palmitoyl-oleoyl-glycerol (16:0/18:1) [2]*,lipid,DG,,YEJYLHKQOBOSCP-OZKTZCCCSA-N,lc/ms pos late,612.55616,3695
palmitoyl-oleoyl-glycerophosphocholine (1)*,,,,,lc/ms polar,804.57604,853
palmitoyl-oleoyl-glycerophosphoglycerol (1)*,,,,,lc/ms polar,747.51853,716
palmitoyl-oleoyl-glycerophosphoglycerol (2),,,,,lc/ms polar,747.51853,745
palmitoyl-oleoyl-glycerophosphoglycerol (2)*,lipid,,,,lc/ms polar,747.51853,745
palmitoyl-palmitoyl-glycerol (16:0/16:0) [1]*,lipid,DG,,,lc/ms pos late,586.54051,3568
palmitoyl-palmitoyl-glycerol (16:0/16:0) [2],,DG,,,lc/ms pos late,586.5405,3734
palmitoyl-palmitoyl-glycerol (16:0/16:0) [2]*,lipid,DG,,,lc/ms pos late,586.54051,3734
palmitoyl-palmitoyl-glycerophosphocholine (1)*,,,,,lc/ms polar,778.5604,854
palmitoyl-palmitoyl-glycerophosphocholine (2)*,,,,,lc/ms polar,778.5604,790
palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0),lipid,,,,lc/ms pos late,661.5279,2207
p-aminobenzoate (paba),xenobiotics,,,,lc/ms pos,138.1,2120
panose,xenobiotics,,,,lc/ms polar,549.16723,4503.4
pantetheine,cofactors and vitamins,Sulfhydryl Compounds,439322,ZNXZGRMVNNHPCA-VIFPVBQESA-N,lc/ms neg,277.12275,2765
pantethine,cofactors and vitamins,,,,lc/ms neg,553.23713,3590
pantoate,cofactors and vitamins,Butyrates,439251,OTOIIPJYVQJATP-BYPYZUCNSA-N,lc/ms neg,147.0663,1143
